t,phase,relative_distance,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,carrier_x,carrier_y,carrier_z,carrier_vx,carrier_vy,carrier_vz,carrier_roll_deg,carrier_pitch_deg,carrier_yaw_deg,mini_x,mini_y,mini_z,mini_vx,mini_vy,mini_vz,mini_roll_deg,mini_pitch_deg,mini_yaw_deg,carrier_sp_x,carrier_sp_y,carrier_sp_z,carrier_cmd_vx,carrier_cmd_vy,carrier_cmd_vz,mini_target_x,mini_target_y,mini_target_z,measured_rel_x,measured_rel_y,measured_rel_z,measured_rel_distance,measured_rel_vx,measured_rel_vy,measured_rel_vz,measured_rel_speed,mini_px4_true_airspeed_mps,mini_px4_throttle_filtered,mini_px4_global_alt_m,mini_px4_global_alt_valid,mini_px4_local_z_m,mini_px4_local_vz_mps,mini_px4_local_ref_alt_m,mini_px4_local_z_global_valid,mini_px4_local_alt_from_ref_m,mini_px4_alt_source_delta_m,mini_tecs_altitude_sp_m,mini_tecs_altitude_reference_m,mini_tecs_height_rate_reference_mps,mini_tecs_height_rate_sp_mps,mini_tecs_height_rate_mps,mini_tecs_true_airspeed_sp_mps,mini_tecs_true_airspeed_filtered_mps,mini_tecs_throttle_sp,mini_tecs_throttle_trim,mini_tecs_pitch_sp_deg,mini_tecs_underspeed_ratio,mini_tecs_fast_descend_ratio,mini_tecs_total_energy_rate_sp,mini_tecs_total_energy_rate,mini_fw_altitude_sp_m,mini_fw_height_rate_sp_mps,mini_fw_equivalent_airspeed_sp_mps,mini_fw_pitch_direct_deg,mini_fw_throttle_direct,mini_attitude_sp_thrust_x,mini_terminal_straight_active,mini_terminal_sync_active,mini_terminal_sync_score,mini_terminal_sync_best_score,mini_terminal_sync_release_ready,mini_terminal_sync_good_count,mini_terminal_sync_plateau_count,mini_terminal_sync_cluster_code,mini_terminal_sync_distance_xy,mini_terminal_sync_line_progress,mini_terminal_sync_line_lateral_error,mini_terminal_sync_height_error,mini_terminal_sync_distance_score,mini_terminal_sync_progress_score,mini_terminal_sync_lateral_score,mini_terminal_sync_height_score,mini_handoff_tangent_active,mini_handoff_distance_xy,mini_handoff_line_progress,mini_handoff_line_lateral_error,mini_handoff_height_error,mini_handoff_geom_ready,mini_energy_guard_active,mini_energy_guard_bad_airspeed,mini_energy_guard_bad_underspeed,mini_energy_guard_true_airspeed_mps,mini_energy_guard_underspeed_ratio,mini_energy_guard_recover_time_remaining_sec,controller_phase_code,controller_tracking_horizontal_distance,controller_tracking_along_error,controller_tracking_lateral_error,controller_tracking_along_speed,controller_tracking_lateral_speed,controller_terminal_distance,controller_terminal_along_error,controller_terminal_lateral_error,controller_terminal_vertical_error,controller_target_along_speed,controller_target_lateral_speed,controller_relative_speed,controller_min_docking_distance,controller_rendezvous_corridor_active,controller_passive_target_mode,controller_corridor_release_score,controller_corridor_release_armed,controller_corridor_release_accept_counter,controller_completion_hold_counter,controller_tracking_rearm_guard_enabled,controller_tracking_rearm_guard_used,controller_tracking_rearm_last_trigger_code,controller_passive_docking_entry_count,controller_passive_docking_last_exit_trigger_code,controller_debug_25,controller_debug_26,controller_debug_27,controller_debug_28,controller_debug_29
0.040,IDLE,290.493141,233.014988,173.413492,4.247500,-1.888036,8.400000,0.700000,-145.563492,-161.563492,0.462500,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,87.451496,11.850000,4.710000,-1.888036,8.400000,1.200000,0.000000,0.000000,102.667635,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,233.014988,173.413492,4.247500,290.493141,-1.888036,8.400000,0.700000,8.637979,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.080,IDLE,290.669663,232.917894,173.838492,4.276250,-1.941882,8.500000,0.575000,-145.563492,-161.563492,0.493750,0.000000,0.000000,0.625000,0.000000,0.000000,0.000000,87.354402,12.275000,4.770000,-1.941882,8.500000,1.200000,0.000000,0.000000,102.868753,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.917894,173.838492,4.276250,290.669663,-1.941882,8.500000,0.575000,8.737936,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.140,IDLE,290.847437,232.818051,174.268492,4.298750,-1.996847,8.600000,0.450000,-145.563492,-161.563492,0.531250,0.000000,0.000000,0.750000,0.000000,0.000000,0.000000,87.254560,12.705000,4.830000,-1.996847,8.600000,1.200000,0.000000,0.000000,103.071964,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.818051,174.268492,4.298750,290.847437,-1.996847,8.600000,0.450000,8.840243,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.180,IDLE,291.026440,232.715404,174.703492,4.315000,-2.052949,8.700000,0.325000,-145.563492,-161.563492,0.575000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,87.151912,13.140000,4.890000,-2.052949,8.700000,1.200000,0.000000,0.000000,103.277272,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.715404,174.703492,4.315000,291.026440,-2.052949,8.700000,0.325000,8.944844,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.240,IDLE,291.206647,232.609894,175.143492,4.325000,-2.110204,8.800000,0.200000,-145.563492,-161.563492,0.625000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,87.046402,13.580000,4.950000,-2.110204,8.800000,1.200000,0.000000,0.000000,103.484679,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.609894,175.143492,4.325000,291.206647,-2.110204,8.800000,0.200000,9.051683,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.280,IDLE,291.388034,232.501462,175.588492,4.328750,-2.168629,8.900000,0.075000,-145.563492,-161.563492,0.681250,0.000000,0.000000,1.125000,0.000000,0.000000,0.000000,86.937970,14.025000,5.010000,-2.168629,8.900000,1.200000,0.000000,0.000000,103.694186,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.501462,175.588492,4.328750,291.388034,-2.168629,8.900000,0.075000,9.160708,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.340,IDLE,291.570579,232.390050,176.038492,4.326250,-2.228240,9.000000,-0.050000,-145.563492,-161.563492,0.743750,0.000000,0.000000,1.250000,0.000000,0.000000,0.000000,86.826558,14.475000,5.070000,-2.228240,9.000000,1.200000,0.000000,0.000000,103.905792,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.390050,176.038492,4.326250,291.570579,-2.228240,9.000000,-0.050000,9.271869,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.380,IDLE,291.754257,232.275598,176.493492,4.317500,-2.289054,9.100000,-0.175000,-145.563492,-161.563492,0.812500,0.000000,0.000000,1.375000,0.000000,0.000000,0.000000,86.712106,14.930000,5.130000,-2.289054,9.100000,1.200000,0.000000,0.000000,104.119493,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.275598,176.493492,4.317500,291.754257,-2.289054,9.100000,-0.175000,9.385115,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.440,IDLE,291.939046,232.158043,176.953492,4.302500,-2.351086,9.200000,-0.300000,-145.563492,-161.563492,0.887500,0.000000,0.000000,1.500000,0.000000,0.000000,0.000000,86.594551,15.390000,5.190000,-2.351086,9.200000,1.200000,0.000000,0.000000,104.335286,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.158043,176.953492,4.302500,291.939046,-2.351086,9.200000,-0.300000,9.500400,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.480,IDLE,292.124923,232.037326,177.418492,4.281250,-2.414352,9.300000,-0.425000,-145.563492,-161.563492,0.968750,0.000000,0.000000,1.625000,0.000000,0.000000,0.000000,86.473834,15.855000,5.250000,-2.414352,9.300000,1.200000,0.000000,0.000000,104.553164,-145.563492,-161.563492,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.037326,177.418492,4.281250,292.124923,-2.414352,9.300000,-0.425000,9.617678,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
